CB·CO, CB·CO, la, transcription, CB·C</unclear>O</gap>, texts/xml/masa0836.xml
CID, CID, la, transcription, </lb>CID</p></div>, texts/xml/masa0838.xml
CM, CM, la, transcription, </gap></gap>C</unclear>M</gap></gap></p></div>, texts/xml/masa0837.xml
COE, COE, la, transcription, </gap></gap>C</unclear>OE</unclear>, texts/xml/masa0828.xml
COL, COL, la, transcription, COL</p></div>, texts/xml/masa0852.xml
CX, CX, la, transcription, </gap></gap>CX</p></div>, texts/xml/masa0848.xml
CXII, CXII, la, transcription, </gap>CXII</p></div>, texts/xml/masa0847.xml
Caes, Caes, la, transcription, Cae</supplied>s</abbr>, texts/xml/caes0006.xml
Caesar, Caesar, la, transcription, Caesar, texts/xml/caes0051.xml
Caesar, Caesar, la, transcription, Caes</abbr>ar</ex></expan>, texts/xml/caes0052.xml
Caesar, Caesar, la, transcription, Caes</abbr>ar</ex></expan>, texts/xml/caes0054.xml
Caesar, Caesar, la, transcription, Caesar</unclear>, texts/xml/caes0352.xml
Caesare, Caesare, la, transcription, </lb>Caes</abbr>are</ex></expan>, texts/xml/caes0047.xml
Caesare, Caesare, la, transcription, Cae</abbr>sare</ex></expan>, texts/xml/caes0049.xml
Caesare, Caesare, la, transcription, Cae</abbr>sare</ex></expan>, texts/xml/masa0799.xml
Caesareae, Caesareae, la, transcription, Caesareae, texts/xml/caes0003.xml
Caesareae, Caesareae, la, transcription, Caesareae, texts/xml/caes0044.xml
Caesares, Caesares, la, transcription, Caesare</supplied>s, texts/xml/yotv0001.xml
Caesari, Caesari, la, transcription, Ca</supplied>es</abbr>ari</ex></expan>, texts/xml/bshe0006.xml
Caesari, Caesari, la, transcription, Caesari</expan>, texts/xml/caes0006.xml
Caesari, Caesari, la, transcription, Caes</abbr>ari</ex></expan>&#44;, texts/xml/caes0014.xml
Caesari, Caesari, la, transcription, </lb>Caes</abbr>ari</ex></expan>, texts/xml/caes0016.xml
Caesari, Caesari, la, transcription, Caes</abbr>ari</ex></expan>&#44;, texts/xml/caes0017.xml
Caesari, Caesari, la, transcription, Caes</abbr>ari</ex></expan>, texts/xml/caes0106.xml
Caesari, Caesari, la, transcription, Caes</abbr>ari</ex></expan>, texts/xml/caes0107.xml
Caio, caio, la, transcription, </choice>C</abbr>aio</ex></expan>, texts/xml/caes0006.xml
Caio, caio, la, transcription, C</abbr>aio</ex></expan>, texts/xml/caes0007.xml
Caio, caio, la, transcription, Caio</expan>, texts/xml/caes0018.xml
Caio, caio, la, transcription, C</abbr>aio</ex></expan>, texts/xml/caes0106.xml
Caius, Caius, la, transcription, </lb>C</abbr>aius</ex></expan>, texts/xml/caes0002.xml
Callisto, Callisto, la, transcription, </space>Callisto, texts/xml/caes0002.xml
Calpurniano, Calpurniano, la, transcription, Calpurniano, texts/xml/caes0010.xml
Camilia, Camilia, la, transcription, </lb>Camilia</gap>, texts/xml/emma0001.xml
Campagonum, Campagonum, la, transcription, </lb>Campagonum, texts/xml/caes0004.xml
Campestris, campestre, la, transcription, C</supplied>ampestris</supplied>, texts/xml/masa0830.xml
Cdo, Cdo, la, transcription, C</gap>do, texts/xml/caes0062.xml
Cir, Cir, la, transcription, Cir</gap></gap>, texts/xml/masa0834.xml
Claudio, Claudio, la, transcription, Cl</abbr>audio</ex></expan>, texts/xml/caes0021.xml
Claudio, Claudio, la, transcription, Cl</abbr>audio</ex></expan>, texts/xml/caes0145.xml
Claudius, claudus, la, transcription, Cl</abbr>audius</ex></expan>, texts/xml/caes0146.xml
Clemes, Clemes, la, transcription, </lb></gap></unclear>Clemes, texts/xml/caes0006.xml
Cleobulus, Cleobulus, la, transcription, Cleobulus, texts/xml/caes0016.xml
Cleopatra, Cleopatra, la, transcription, </lb></space></gap>Cleo?</supplied>patra, texts/xml/caes0044.xml
Coloniae, colonia, la, transcription, Coloniae?</supplied>, texts/xml/caes0044.xml
Constantio, Constantio, la, transcription, Constantio, texts/xml/caes0017.xml
Constantius, consto, la, transcription, </lb>Constantius, texts/xml/yotv0001.xml
Cop, Cop, la, transcription, Cop</abbr>, texts/xml/masa0825.xml
Cornelii, Cornelii, la, transcription, Corneli</abbr>i</ex></expan>, texts/xml/caes0015.xml
Cornelius, Cornelius, la, transcription, </lb>Cornelius, texts/xml/caes0015.xml
Cumana, Cumana, la, transcription, </lb>Cum</abbr>ana</ex></expan>, texts/xml/masa0825.xml
Cypri, cyprus, la, transcription, Cypri, texts/xml/caes0004.xml
Cyrenaicae, Cyrenaicae, la, transcription, Cyr</abbr>enaicae</ex></expan>, texts/xml/caes0035.xml
C·AN, C·AN, la, transcription, C</unclear>·AN, texts/xml/masa0835.xml
D, D, la, transcription, </lb>D</unclear>, texts/xml/caes0046.xml
Dacia, Dacia, la, transcription, Dacia, texts/xml/caes0004.xml
Damas, Damas, la, transcription, Damas, texts/xml/caes0146.xml
Decimi, decimus, la, transcription, D</abbr>ecimi</ex></expan>, texts/xml/caes0015.xml
Decimo, decimus, la, transcription, D</abbr>ecimo</ex></expan>, texts/xml/caes0015.xml
Diocletiano, Diocletiano, la, transcription, </lb>Dio</supplied>cletiano, texts/xml/caes0006.xml
Diocletianus, Diocletianus, la, transcription, </lb>Diocletianus, texts/xml/yotv0001.xml
Dis, dives, la, transcription, D</abbr>is</ex></expan>, texts/xml/caes0146.xml
Dis, dives, la, transcription, D</abbr>is</ex></expan>, texts/xml/caes0160.xml
Domine, dominus, la, transcription, Domine</p></div>, texts/xml/jeru0306.xml
E, ex, la, transcription, </gap>E</unclear>, texts/xml/caes0008.xml
E, ex, la, transcription, E</unclear>, texts/xml/caes0021.xml
E, ex, la, transcription, E</unclear>, texts/xml/masa0827.xml
E, ex, la, transcription, E</unclear>, texts/xml/masa0841.xml
E, ex, la, transcription, E</unclear>, texts/xml/masa0918.xml
EG, EG, la, transcription, E</unclear>G, texts/xml/masa0937.xml
Eudemi, Eudemi, la, transcription, </lb>E</supplied>ude</abbr>mi</ex></expan>, texts/xml/masa0949.xml
Eudemi, Eudemi, la, transcription, </lb>Eude</abbr>mi</ex></expan>, texts/xml/masa0950.xml
FR, FR, la, transcription, </hi></abbr></space>FR</unclear>, texts/xml/masa0853.xml
Felici, felix, la, transcription, F</abbr>elici</ex></expan>, texts/xml/bshe0006.xml
Felicissimo, felix, la, transcription, Felicissimo, texts/xml/caes0009.xml
Fer, fero, la, transcription, Fer-, texts/xml/bshe0006.xml
Fer, fero, la, transcription, Fer</unclear>, texts/xml/caes0054.xml
Ferratae, ferratus, la, transcription, Ferr</abbr>atae</ex></expan>, texts/xml/caes0004.xml
Ferratae, ferratus, la, transcription, Ferr</abbr>atae</ex></expan>., texts/xml/caes0049.xml
Ferratae, ferratus, la, transcription, Ferratae</expan>, texts/xml/caes0054.xml
Ferratae, ferratus, la, transcription, Ferr</abbr>atae</ex></expan>, texts/xml/caes0146.xml
Flavia, Flavia, la, transcription, Flavia, texts/xml/caes0024.xml
Flaviae, Flaviae, la, transcription, Fl</abbr>aviae</ex></expan>, texts/xml/caes0003.xml
Flaviae, Flaviae, la, transcription, Fl</abbr>aviae</ex></expan>, texts/xml/caes0044.xml
Flavianus, Flavianus, la, transcription, Flavian</abbr>us</ex></expan>, texts/xml/caes0031.xml
Flavii, Flavii, la, transcription, Fl</abbr>avii</ex></expan>, texts/xml/caes0030.xml
Flavii, Flavii, la, transcription, </lb>F</unclear>l</abbr>avii</ex></expan>, texts/xml/caes0146.xml
Flavio, Flavio, la, transcription, Flavio, texts/xml/caes0002.xml
Flavio, Flavio, la, transcription, Fl</abbr>avio</ex></expan>, texts/xml/caes0010.xml
Flavio, Flavio, la, transcription, </lb>Fl</abbr>avio</ex></expan>, texts/xml/caes0017.xml
Flavium, Flavium, la, transcription, Fl</abbr>avium</ex></expan>, texts/xml/caes0003.xml
Flavius, flavus, la, transcription, Fl</abbr>avius</ex></expan>, texts/xml/caes0018.xml
Fortissimo, fortis, la, transcription, Fortissimo, texts/xml/bshe0006.xml
Fortissimo, fortis, la, transcription, Fortissimo, texts/xml/caes0014.xml
Fortissimo, fortis, la, transcription, Fortissimo</supplied>, texts/xml/caes0017.xml
Fr, Fr, la, transcription, Fr</abbr>, texts/xml/caes0031.xml
Fretensis, Fretensis, la, transcription, Fretensis</supplied>, texts/xml/caes0018.xml
Fretensis, Fretensis, la, transcription, Fret</hi></abbr>ensis</ex></expan>., texts/xml/caes0045.xml
Fretensis, Fretensis, la, transcription, Fret</abbr>ensis</ex></expan>., texts/xml/caes0048.xml
Fretensis, Fretensis, la, transcription, </supplied>Fr</supplied>et</hi></abbr>ensis</ex></expan>, texts/xml/caes0050.xml
Fretensis, Fretensis, la, transcription, Fret</hi>e</abbr>nsis</ex></expan>., texts/xml/caes0051.xml
Fretensis, Fretensis, la, transcription, Frete</abbr>nsis</ex></expan>., texts/xml/caes0052.xml
Fretensis, Fretensis, la, transcription, F</supplied>ret</hi></abbr>ensis</ex></expan>, texts/xml/caes0053.xml
Fretensis, Fretensis, la, transcription, Fret</abbr>ensis</ex></expan>, texts/xml/caes0146.xml
Fretensis, Fretensis, la, transcription, Fr</abbr>etensis</ex></expan>, texts/xml/caes0148.xml
Fretensis, Fretensis, la, transcription, Fr</abbr>etensis</ex></expan>, texts/xml/caes0349.xml
Fulminatae, fulmino, la, transcription, Fulm</abbr>inatae</ex></expan>, texts/xml/caes0119.xml
Furio, furio, la, transcription, Furio, texts/xml/caes0007.xml
G, G, la, transcription, G</unclear>, texts/xml/caes0021.xml
G, G, la, transcription, G</unclear>, texts/xml/masa0827.xml
Gaio, Gaio, la, transcription, </lb>G</abbr>aio</ex></expan>, texts/xml/caes0106.xml
Galerio, Galerio, la, transcription, Gal</abbr>erio</ex></expan>, texts/xml/bshe0006.xml
Galerio, Galerio, la, transcription, </lb>Galer</abbr>io</ex></expan>, texts/xml/caes0014.xml
Garum, garus, la, transcription, Garum, texts/xml/masa0826.xml
Gordiano, Gordiano, la, transcription, </lb>Gordiano, texts/xml/caes0107.xml
Hadr, Hadr, la, transcription, Hadr</hi>, texts/xml/caes0054.xml
Hadriano, Hadriano, la, transcription, </lb>Hadriano, texts/xml/caes0045.xml
Hadriano, Hadriano, la, transcription, Had</abbr>riano</ex></expan>, texts/xml/caes0047.xml
Hadriano, Hadriano, la, transcription, </choice>Had</abbr>riano</ex></expan>, texts/xml/caes0049.xml
Hadriano, Hadriano, la, transcription, </lb>Hadr</hi></abbr>iano</ex></expan>, texts/xml/caes0053.xml
Hadrianus, Hadrianus, la, transcription, </lb>Hadrianus, texts/xml/caes0051.xml
Hadrianus, Hadrianus, la, transcription, </lb>Hadrianus, texts/xml/caes0052.xml
Hadrianus, Hadrianus, la, transcription, Hadrianus</expan>, texts/xml/caes0054.xml
Hemesenorum, Hemesenorum, la, transcription, Hemesenorum, texts/xml/caes0004.xml
Heres, heres, la, transcription, </lb>H</abbr>eres</ex></expan>, texts/xml/emma0001.xml
Herinnius, Herinnius, la, transcription, Herin</abbr>nius</ex></expan>, texts/xml/masa0829.xml
Hic, hic, la, transcription, </lb>H</abbr>ic</ex></expan>, texts/xml/emma0001.xml
Hilarus, hilarus, la, transcription, Hilarus, texts/xml/caes0146.xml
Hispanorum, Hispanorum, la, transcription, Hispan</abbr>orum</ex></expan>, texts/xml/caes0004.xml
I, eo, la, transcription, I, texts/xml/caes0003.xml
I, eo, la, transcription, I, texts/xml/caes0004.xml
I, eo, la, transcription, I</unclear>, texts/xml/masa0915.xml
I, eo, la, transcription, I</unclear>, texts/xml/masa0918.xml
II, eo, la, transcription, </lb>II, texts/xml/caes0003.xml
II, eo, la, transcription, </gap></del>II, texts/xml/caes0008.xml
II, eo, la, transcription, II, texts/xml/caes0047.xml
IICBP, IICBP, la, transcription, IICBP</unclear>, texts/xml/masa0832.xml
III, III, la, transcription, </choice>III, texts/xml/caes0035.xml
IIII, IIII, la, transcription, IIII, texts/xml/caes0004.xml
IS, eo, la, transcription, IS, texts/xml/caes0008.xml
Imperator, imperator, la, transcription, Imp</abbr>erator</ex></expan>, texts/xml/caes0051.xml
Imperator, imperator, la, transcription, Imp</abbr>erator</ex></expan>, texts/xml/caes0054.xml
Imperatore, imperator, la, transcription, Imp</abbr>eratore</ex></expan>, texts/xml/caes0045.xml
Imperatore, imperator, la, transcription, Imp</abbr>eratore</ex></expan>, texts/xml/caes0047.xml
Imperatore, imperator, la, transcription, Imp</abbr>eratore</ex></expan>, texts/xml/caes0049.xml
Imperatore, imperator, la, transcription, Imp</abbr>eratore</ex></expan>, texts/xml/caes0052.xml
Imperatore, imperator, la, transcription, Imp</abbr>eratore</ex></expan>, texts/xml/caes0053.xml
Imperatori, imperator, la, transcription, Imp</abbr>eratori</ex></expan>, texts/xml/bshe0006.xml
Imperatori, imperator, la, transcription, Imp</abbr>eratori</ex></expan>, texts/xml/caes0006.xml
Imperatori, imperator, la, transcription, Imp</abbr>eratori</ex></expan>, texts/xml/caes0106.xml
Imperatori, imperator, la, transcription, Imp</abbr>eratori</ex></expan>, texts/xml/caes0107.xml
Iosepus, Iosepus, la, transcription, Iosepu</abbr>s</ex></expan>, texts/xml/masa0936.xml
Italico, Italico, la, transcription, Italico, texts/xml/caes0145.xml
Iudaeae, Iudaeae, la, transcription, Iudaea</supplied>e, texts/xml/caes0043.xml
Iul, Iul, la, transcription, Iul</unclear>, texts/xml/caes0032.xml
Iulii, Iulii, la, transcription, </lb>Iuli</abbr>i</ex></expan>, texts/xml/caes0032.xml
