Mνημεῖον, Mνημεῖον, grc, transcription, Mνημεῖον</corr></choice>, texts/xml/zoor0035.xml
Mνημεῖον, Mνημεῖον, grc, transcription, Mνημεῖον</corr></choice>, texts/xml/zoor0036.xml
Mνημῖ, Mνημῖ, grc, transcription, Mνημῖ, texts/xml/zoor0277.xml
Mνημῖαν, Mνημῖαν, grc, transcription, </lb>Mνημῖαν</sic>, texts/xml/zoor0283.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/xml/zoor0278.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/xml/zoor0279.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/xml/zoor0280.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/xml/zoor0281.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/xml/zoor0282.xml
Mνημῖον, Mνημῖον, grc, transcription, </lb>Mνημῖον</sic>, texts/xml/zoor0284.xml
Mνημῖον, Mνημῖον, grc, transcription, Mνημῖον</sic>, texts/xml/zoor0285.xml
Mνῆμα, Mνῆμα, grc, transcription, Mνῆμα, texts/xml/iopp0003.xml
N, N, grc, transcription, N</gap>, texts/xml/sena0005.xml
Robb, Robb, grc, transcription, Robb., texts/xml/beth0163.xml
Robb, Robb, grc, transcription, Robb., texts/xml/beth0163.xml
S, S, grc, transcription, S</del>., texts/xml/hamm0057.xml
Sκαὶ, Sκαὶ, grc, transcription, </lb>S</am>καὶ</ex></expan>, texts/xml/beth0036.xml
T, T, grc, transcription, T</abbr>, texts/xml/caes0012.xml
T, T, grc, transcription, T</unclear>, texts/xml/zoor0207.xml
TPRIM, TPRIM, grc, transcription, TPRIM, texts/xml/hamm0022.xml
VII, VII, grc, transcription, </choice>VII, texts/xml/caes0027.xml
VII, VII, grc, transcription, VII</num>, texts/xml/masa0795.xml
VIII, VIII, grc, transcription, VIII</supplied>., texts/xml/caes0027.xml
VIII, VIII, grc, transcription, VIII</p></div>, texts/xml/masa0796.xml
Vespasiano, Vespasiano, grc, transcription, Ves</abbr>pasiano</ex></expan>, texts/xml/caes0027.xml
XVII, XVII, grc, transcription, XVII, texts/xml/caes0027.xml
XVIIII, XVIIII, grc, transcription, XVIII</supplied>I, texts/xml/caes0027.xml
Zώϊλος, Zώϊλος, grc, transcription, Zώϊλος, texts/xml/tibe0004.xml
a, a, grc, transcription, </lb>a, texts/xml/masa0941.xml
ai, ai, grc, transcription, ai</unclear>, texts/xml/masa0942d.xml
also, also, grc, transcription, also, texts/xml/hamm0022.xml
and, and, grc, transcription, and, texts/xml/tibe0004.xml
ant, ant, grc, transcription, ant</unclear>, texts/xml/masa0942a.xml
augures, augures, grc, transcription, </lb></gap>augur</abbr>e</ex>s</abbr></expan>, texts/xml/caes0123.xml
b, b, grc, transcription, b, texts/xml/masa0941.xml
c, c, grc, transcription, c, texts/xml/masa0941.xml
censori, censori, grc, transcription, censori</supplied>, texts/xml/caes0027.xml
center, center, grc, transcription, center, texts/xml/tibe0004.xml
central, central, grc, transcription, </lb>(central, texts/xml/tibe0004.xml
central, central, grc, transcription, </lb>(central, texts/xml/tibe0004.xml
central, central, grc, transcription, </lb>(central, texts/xml/tibe0004.xml
central, central, grc, transcription, </lb>(central, texts/xml/tibe0004.xml
consuli, consuli, grc, transcription, </supplied>co</supplied>s</abbr>consuli</expan>, texts/xml/caes0027.xml
corr, corr, grc, transcription, corr., texts/xml/beth0163.xml
corr, corr, grc, transcription, corr., texts/xml/beth0163.xml
d, d, grc, transcription, d, texts/xml/masa0941.xml
devotus, devotus, grc, transcription, d</abbr>evotus</ex></expan>, texts/xml/caes0029.xml
e, e, grc, transcription, e</unclear>, texts/xml/caes0029.xml
e, e, grc, transcription, e, texts/xml/masa0941.xml
e, e, grc, transcription, e, texts/xml/masa0941.xml
e, e, grc, transcription, e</p></div>, texts/xml/masa0941.xml
eastern, eastern, grc, transcription, eastern, texts/xml/tibe0004.xml
ed, ed, grc, transcription, ed.&#44;, texts/xml/beth0163.xml
ed, ed, grc, transcription, ed.&#44;, texts/xml/beth0163.xml
ed, ed, grc, transcription, ed.</note>, texts/xml/beth0185.xml
ed, ed, grc, transcription, ed.</note></p></div>, texts/xml/beth0189.xml
eius, eius, grc, transcription, </abbr>eius</expan>, texts/xml/caes0029.xml
expan=ἔτουςἔτου, expan=ἔτουςἔτου, grc, transcription, </lb>expan="ἔτους">ἔτου</abbr>, texts/xml/zoor0013.xml
expan=ἡμέρᾳἡμ, expan=ἡμέρᾳἡμ, grc, transcription, expan="ἡμέρᾳ">ἡμ</abbr>, texts/xml/zoor0136.xml
f, f, grc, transcription, f, texts/xml/masa0941.xml
for, for, grc, transcription, for, texts/xml/hamm0022.xml
h, h, grc, transcription, h, texts/xml/masa0941.xml
hedera, hedera, grc, transcription, (hedera), texts/xml/beth0149.xml
hedera, hedera, grc, transcription, (hedera), texts/xml/beth0210.xml
imperatori, imperatori, grc, transcription, imp</abbr>eratori</ex></expan>, texts/xml/caes0027.xml
imperatori, imperatori, grc, transcription, </lb></gap>imp</abbr>eratori</ex></expan>, texts/xml/caes0027.xml
loύφα, loύφα, grc, transcription, </lb>loύφα&#44;, texts/xml/zoor0060.xml
m, m, grc, transcription, </lb></gap></unclear></unclear></unclear>m</unclear>, texts/xml/caes0200.xml
maiestatique, maiestatique, grc, transcription, m</abbr>aiestatique</ex></expan>, texts/xml/caes0029.xml
maximo, maximo, grc, transcription, </choice>max</abbr>imo</ex></expan>, texts/xml/caes0027.xml
might, might, grc, transcription, might, texts/xml/hamm0022.xml
nac, nac, grc, transcription, nac</unclear>, texts/xml/masa0942c.xml
northeastern, northeastern, grc, transcription, </lb>(northeastern, texts/xml/tibe0004.xml
northern, northern, grc, transcription, northern, texts/xml/tibe0004.xml
northwestern, northwestern, grc, transcription, </lb>(northwestern, texts/xml/tibe0004.xml
numini, numini, grc, transcription, n</abbr>umini</ex></expan>, texts/xml/caes0029.xml
or, or, grc, transcription, or, texts/xml/beth0212.xml
or, or, grc, transcription, or, texts/xml/beth0213.xml
or, or, grc, transcription, or, texts/xml/caes0027.xml
or, or, grc, transcription, or, texts/xml/caes0211.xml
or, or, grc, transcription, or, texts/xml/kafr0010.xml
or, or, grc, transcription, </gap>(or, texts/xml/squf0003.xml
oς, oς, grc, transcription, </lb>o</unclear>ς, texts/xml/kede0004.xml
patri, patri, grc, transcription, </lb></gap>p</abbr>atri</ex></expan>, texts/xml/caes0027.xml
patriae, patriae, grc, transcription, p</abbr>atriae</ex></expan>, texts/xml/caes0027.xml
pont, pont, grc, transcription, </choice>pont</supplied>, texts/xml/caes0027.xml
pontifici, pontifici, grc, transcription, </abbr>pontifici</expan>, texts/xml/caes0027.xml
potestate, potestate, grc, transcription, pot</abbr>estate</ex></expan>, texts/xml/caes0027.xml
southeastern, southeastern, grc, transcription, (southeastern, texts/xml/tibe0004.xml
southern, southern, grc, transcription, southern, texts/xml/tibe0004.xml
southwestern, southwestern, grc, transcription, </lb>(southwestern, texts/xml/tibe0004.xml
square, square, grc, transcription, square), texts/xml/tibe0004.xml
square, square, grc, transcription, square), texts/xml/tibe0004.xml
square, square, grc, transcription, square), texts/xml/tibe0004.xml
square, square, grc, transcription, square), texts/xml/tibe0004.xml
square, square, grc, transcription, square), texts/xml/tibe0004.xml
square, square, grc, transcription, square), texts/xml/tibe0004.xml
squares, squares, grc, transcription, squares), texts/xml/tibe0004.xml
stand, stand, grc, transcription, stand, texts/xml/hamm0022.xml
t, t, grc, transcription, t</unclear>, texts/xml/masa0942b.xml
tribunicia, tribunicia, grc, transcription, trib</abbr>unicia</ex></expan>, texts/xml/caes0027.xml
western, western, grc, transcription, western, texts/xml/tibe0004.xml
­, ­, grc, transcription, </gap>­, texts/xml/caes0167.xml
­, ­, grc, transcription, </gap>­, texts/xml/caes0241.xml
­, ­, grc, transcription, </unclear></gap>­, texts/xml/caes0324.xml
­, ­, grc, transcription, </gap>­, texts/xml/caes0324.xml
­, ­, grc, transcription, </hi></gap>­, texts/xml/caes0326.xml
´, ´, grc, transcription, </gap>´, texts/xml/bshe0009.xml
̒Ελικίου, ̒Ελικίου, grc, transcription, ̒Ελικίου, texts/xml/ashk0002.xml
̔͂οδε, ̔͂οδε, grc, transcription, ̔͂οδε, texts/xml/bshe0011.xml
Άββι, Άββι, grc, transcription, Άββι</p></div>, texts/xml/jaff0045.xml
Άρίστων, Άρίστων, grc, transcription, Άρίστων, texts/xml/akld0020.xml
Άστερίου, Άστερίου, grc, transcription, </lb>Άστε</lb>ρίου</p></div>, texts/xml/jaff0046.xml
Έπὶ, Έπὶ, grc, transcription, </lb>Έπὶ, texts/xml/bshe0121.xml
Έρωτοϛ, Έρωτοϛ, grc, transcription, Έρωτοϛ, texts/xml/akld0009.xml
Έρώταϛ, Έρώταϛ, grc, transcription, Έρώταϛ</p></div>, texts/xml/akld0006.xml
Έρώταϛ, Έρώταϛ, grc, transcription, </lb>Έρώταϛ</p></div>, texts/xml/akld0007.xml
Ίεσούα, Ίεσούα, grc, transcription, </lb>Ίεσούα</p></div>, texts/xml/akld0005.xml
Α, Α, grc, transcription, </lb>Α, texts/xml/beth0093.xml
Α, Α, grc, transcription, Α, texts/xml/beth0155.xml
Α, Α, grc, transcription, Α</unclear>, texts/xml/caes0156.xml
Α, Α, grc, transcription, Α</unclear>, texts/xml/caes0156.xml
Α, Α, grc, transcription, Α</unclear>, texts/xml/caes0156.xml
Α, Α, grc, transcription, Α</unclear>, texts/xml/caes0156.xml
Α, Α, grc, transcription, Α</unclear>, texts/xml/caes0194.xml
Α, Α, grc, transcription, </gap>Α, texts/xml/caes0240.xml
Α, Α, grc, transcription, Α</unclear>, texts/xml/caes0278.xml
Α, Α, grc, transcription, </lb></gap></unclear>Α</unclear>, texts/xml/caes0375.xml
Α, Α, grc, transcription, Α</p></div>, texts/xml/elus0033.xml
Α, Α, grc, transcription, </unclear>Α</unclear>, texts/xml/elus0034.xml
Α, Α, grc, transcription, </lb>Α</unclear>, texts/xml/elus0047.xml
Α, Α, grc, transcription, Α, texts/xml/elus0074.xml
Α, Α, grc, transcription, </gap>Α</gap>, texts/xml/elus0076.xml
Α, Α, grc, transcription, </lb>Α, texts/xml/hafa0001.xml
Α, Α, grc, transcription, Α</p></div>, texts/xml/haif0012.xml
Α, Α, grc, transcription, Α., texts/xml/khis0071.xml
Α, Α, grc, transcription, Α</p></div>, texts/xml/masa0285.xml
Α, Α, grc, transcription, </lb>Α, texts/xml/rafi0002.xml
Α, Α, grc, transcription, Α</unclear>, texts/xml/sena0006.xml
Α, Α, grc, transcription, Α</unclear>, texts/xml/zoor0003.xml
Α, Α, grc, transcription, </lb></gap>Α, texts/xml/zoor0087.xml
Α, Α, grc, transcription, </lb></gap>Α</unclear>, texts/xml/zoor0127.xml
Α, Α, grc, transcription, Α, texts/xml/zoor0135.xml
Α, Α, grc, transcription, Α</gap>, texts/xml/zoor0296.xml
Α, Α, grc, transcription, </lb>Α</gap>, texts/xml/zoor0384.xml
ΑΑΛ, ΑΑΛ, grc, transcription, ΑΑΛ, texts/xml/beth0166.xml
ΑΒ, ΑΒ, grc, transcription, </lb>ΑΒ</p></div>, texts/xml/jeru0122.xml
