17, arc, transcription, texts/idum0225.xml
17, arc, transcription, texts/idum0335.xml
17, heb, transcription, texts/jord0001.xml
18, arc, transcription, texts/idum0007.xml
18, arc, transcription, texts/idum0019.xml
18, arc, transcription, texts/idum0023.xml
18, arc, transcription, texts/idum0024.xml
18, arc, transcription, texts/idum0118.xml
18, arc, transcription, texts/idum0164.xml
18, arc, transcription, texts/idum0170.xml
18, heb, transcription, texts/jord0001.xml
19, arc, transcription, texts/idum0025.xml
19, arc, transcription, texts/idum0026.xml
19, arc, transcription, texts/idum0086.xml
19, arc, transcription, texts/idum0135.xml
19, arc, transcription, texts/idum0168.xml
19, arc, transcription, texts/idum0216.xml
19, arc, transcription, texts/idum0315.xml
19, heb, transcription, texts/jord0001.xml
2, grc, transcription, texts/beth0170.xml
2, arc, transcription, texts/idum0007.xml
2, arc, transcription, texts/idum0010.xml
2, arc, transcription, texts/idum0022.xml
2, arc, transcription, texts/idum0024.xml
2, arc, transcription, texts/idum0030.xml
2, arc, transcription, texts/idum0033.xml
2, arc, transcription, texts/idum0034.xml
2, arc, transcription, texts/idum0035.xml
2, arc, transcription, texts/idum0036.xml
2, arc, transcription, texts/idum0037.xml
2, arc, transcription, texts/idum0038.xml
2, arc, transcription, texts/idum0056.xml
2, arc, transcription, texts/idum0058.xml
2, arc, transcription, texts/idum0060.xml
2, arc, transcription, texts/idum0071.xml
2, arc, transcription, texts/idum0072.xml
2, arc, transcription, texts/idum0076.xml
2, arc, transcription, texts/idum0078.xml
2, arc, transcription, texts/idum0079.xml
2, arc, transcription, texts/idum0080.xml
2, arc, transcription, texts/idum0083.xml
2, arc, transcription, texts/idum0086.xml
2, arc, transcription, texts/idum0089.xml
2, arc, transcription, texts/idum0096.xml
2, arc, transcription, texts/idum0098.xml
2, arc, transcription, texts/idum0100.xml
2, arc, transcription, texts/idum0101.xml
2, arc, transcription, texts/idum0107.xml
2, arc, transcription, texts/idum0110.xml
2, arc, transcription, texts/idum0112.xml
2, arc, transcription, texts/idum0118.xml
2, arc, transcription, texts/idum0120.xml
2, arc, transcription, texts/idum0121.xml
2, arc, transcription, texts/idum0122.xml
2, arc, transcription, texts/idum0128.xml
2, arc, transcription, texts/idum0137.xml
2, arc, transcription, texts/idum0151.xml
2, arc, transcription, texts/idum0155.xml
2, arc, transcription, texts/idum0156.xml
2, arc, transcription, texts/idum0159.xml
2, arc, transcription, texts/idum0161.xml
2, arc, transcription, texts/idum0162.xml
2, arc, transcription, texts/idum0166.xml
2, arc, transcription, texts/idum0168.xml
2, arc, transcription, texts/idum0172.xml
2, arc, transcription, texts/idum0174.xml
2, arc, transcription, texts/idum0205.xml
2, arc, transcription, texts/idum0207.xml
2, arc, transcription, texts/idum0214.xml
2, arc, transcription, texts/idum0216.xml
