12, 12, arc, transcription, 12</num>, texts/idum0069.xml
12, 12, arc, transcription, 12</num>, texts/idum0208.xml
12, 12, arc, transcription, 12, texts/unkn0104.xml
13, 13, arc, transcription, 13</num>, texts/idum0025.xml
13, 13, arc, transcription, </lb></gap>13</num>, texts/idum0028.xml
13, 13, arc, transcription, 13</num>, texts/idum0029.xml
13, 13, arc, transcription, 13</num>, texts/idum0084.xml
13, 13, arc, transcription, 13</num>, texts/idum0124.xml
13, 13, arc, transcription, 13</num>, texts/idum0161.xml
13, 13, arc, transcription, </hi>13</num>, texts/idum0212.xml
13, 13, arc, transcription, 13</num>, texts/idum0300.xml
13, 13, arc, transcription, 13</num>, texts/idum0301.xml
13, 13, arc, transcription, 13</num>, texts/idum0303.xml
13, 13, arc, transcription, 13</num>, texts/idum0317.xml
13, 13, arc, transcription, 13</ex></expan>, texts/unkn0104.xml
13, 13, arc, transcription, </lb>13, texts/unkn0105.xml
14, 14, arc, transcription, 14</num>, texts/idum0011.xml
14, 14, arc, transcription, 14</num>, texts/idum0022.xml
14, 14, arc, transcription, 14</num>, texts/idum0048.xml
14, 14, arc, transcription, 14</num>, texts/idum0049.xml
14, 14, arc, transcription, 14</num>, texts/idum0075.xml
14, 14, arc, transcription, 14</num>, texts/idum0207.xml
14, 14, arc, transcription, 14</num>, texts/idum0305.xml
14, 14, arc, transcription, 14</num>, texts/idum0308.xml
14, 14, arc, transcription, 14</num>, texts/idum0341.xml
14, 14, arc, transcription, </lb>14, texts/unkn0104.xml
14, 14, arc, transcription, 14</ex></expan>, texts/unkn0105.xml
15, 15, arc, transcription, 15</num>, texts/idum0043.xml
15, 15, arc, transcription, 15</num>, texts/idum0086.xml
15, 15, arc, transcription, 15</num>, texts/idum0178.xml
15, 15, arc, transcription, 15</num>, texts/idum0222.xml
15, 15, arc, transcription, 15</num>, texts/idum0226.xml
15, 15, arc, transcription, 15</num>, texts/idum0341.xml
15, 15, arc, transcription, 15, texts/unkn0105.xml
16, 16, arc, transcription, 16</num>, texts/idum0029.xml
16, 16, arc, transcription, 16</hi>, texts/idum0030.xml
16, 16, arc, transcription, 16</num>, texts/idum0045.xml
16, 16, arc, transcription, 16</num>, texts/idum0052.xml
16, 16, arc, transcription, 16</num>, texts/idum0092.xml
16, 16, arc, transcription, 16</num>, texts/idum0169.xml
16, 16, arc, transcription, 16</num>, texts/idum0214.xml
16, 16, arc, transcription, 16</num>, texts/idum0221.xml
16, 16, arc, transcription, 16</num>, texts/idum0319.xml
16, 16, arc, transcription, 16</num>, texts/idum0333.xml
16, 16, arc, transcription, 16</num>, texts/idum0385.xml
16, 16, arc, transcription, 16</ex></expan>, texts/unkn0105.xml
17, 17, arc, transcription, 17</num>, texts/idum0017.xml
17, 17, arc, transcription, 17</num>, texts/idum0018.xml
17, 17, arc, transcription, 17</num>, texts/idum0111.xml
17, 17, arc, transcription, 17</num>, texts/idum0124.xml
17, 17, arc, transcription, 17</num>, texts/idum0144.xml
17, 17, arc, transcription, 17</num>, texts/idum0217.xml
17, 17, arc, transcription, 17</num>, texts/idum0225.xml
17, 17, arc, transcription, 17</num>, texts/idum0335.xml
18, 18, arc, transcription, 18</num>, texts/idum0007.xml
18, 18, arc, transcription, 18</num>, texts/idum0019.xml
18, 18, arc, transcription, 18</num>, texts/idum0020.xml
18, 18, arc, transcription, 18</num>, texts/idum0023.xml
18, 18, arc, transcription, 18</num>, texts/idum0024.xml
18, 18, arc, transcription, 18</num>, texts/idum0118.xml
18, 18, arc, transcription, 18</num>, texts/idum0164.xml
18, 18, arc, transcription, 18</num>, texts/idum0170.xml
18, 18, arc, transcription, 18</num>, texts/idum0173.xml
19, 19, arc, transcription, 19</num>, texts/idum0025.xml
19, 19, arc, transcription, 19</num>, texts/idum0026.xml
19, 19, arc, transcription, 19</num>, texts/idum0086.xml
19, 19, arc, transcription, 19</num>, texts/idum0135.xml
19, 19, arc, transcription, 19</num>, texts/idum0168.xml
19, 19, arc, transcription, </lb>19</num>, texts/idum0216.xml
19, 19, arc, transcription, 19</num>, texts/idum0315.xml
2, 2, arc, transcription, 2</num>, texts/idum0007.xml
2, 2, arc, transcription, 2</num>, texts/idum0010.xml
2, 2, arc, transcription, 2, texts/idum0022.xml
2, 2, arc, transcription, 2</num>, texts/idum0024.xml
2, 2, arc, transcription, 2</num>, texts/idum0030.xml
2, 2, arc, transcription, 2</num>, texts/idum0033.xml
2, 2, arc, transcription, 2</num>, texts/idum0034.xml
2, 2, arc, transcription, 2</num>, texts/idum0035.xml
2, 2, arc, transcription, 2</num>, texts/idum0036.xml
2, 2, arc, transcription, 2</num>, texts/idum0037.xml
2, 2, arc, transcription, 2</num>, texts/idum0038.xml
2, 2, arc, transcription, 2</num>, texts/idum0056.xml
2, 2, arc, transcription, 2</num>, texts/idum0058.xml
2, 2, arc, transcription, 2</num>, texts/idum0060.xml
2, 2, arc, transcription, 2</num>, texts/idum0071.xml
2, 2, arc, transcription, 2</num>, texts/idum0072.xml
2, 2, arc, transcription, 2</num>, texts/idum0076.xml
2, 2, arc, transcription, 2</num>, texts/idum0078.xml
2, 2, arc, transcription, 2</num>, texts/idum0079.xml
2, 2, arc, transcription, 2</num>, texts/idum0080.xml
2, 2, arc, transcription, 2</num>, texts/idum0083.xml
2, 2, arc, transcription, 2</num>, texts/idum0086.xml
2, 2, arc, transcription, 2</num>, texts/idum0087.xml
2, 2, arc, transcription, 2</num>, texts/idum0089.xml
2, 2, arc, transcription, 2</num>, texts/idum0096.xml
2, 2, arc, transcription, 2</num>, texts/idum0098.xml
2, 2, arc, transcription, 2</num>, texts/idum0100.xml
2, 2, arc, transcription, 2</num>, texts/idum0101.xml
2, 2, arc, transcription, 2</num>, texts/idum0107.xml
2, 2, arc, transcription, 2</num>, texts/idum0110.xml
2, 2, arc, transcription, 2</num>, texts/idum0112.xml
2, 2, arc, transcription, +2</num>, texts/idum0118.xml
2, 2, arc, transcription, +2</num>, texts/idum0120.xml
2, 2, arc, transcription, </gap>2</num>, texts/idum0121.xml
2, 2, arc, transcription, 2</num>, texts/idum0122.xml
2, 2, arc, transcription, 2</num>, texts/idum0128.xml
2, 2, arc, transcription, 2</num>, texts/idum0137.xml
2, 2, arc, transcription, 2</num>, texts/idum0151.xml
2, 2, arc, transcription, 2</num>, texts/idum0155.xml
2, 2, arc, transcription, 2</num>, texts/idum0156.xml
2, 2, arc, transcription, 2</num>, texts/idum0159.xml
2, 2, arc, transcription, 2</num>, texts/idum0161.xml
2, 2, arc, transcription, 2</num>, texts/idum0162.xml
2, 2, arc, transcription, 2</num>, texts/idum0166.xml
2, 2, arc, transcription, 2</num>, texts/idum0168.xml
2, 2, arc, transcription, 2</num>, texts/idum0172.xml
2, 2, arc, transcription, 2</num>, texts/idum0174.xml
2, 2, arc, transcription, 2</num>, texts/idum0177.xml
2, 2, arc, transcription, 2</num>, texts/idum0179.xml
2, 2, arc, transcription, </lb></gap>2</num>, texts/idum0205.xml
2, 2, arc, transcription, 2</num>, texts/idum0207.xml
2, 2, arc, transcription, 2</num>, texts/idum0214.xml
2, 2, arc, transcription, 2</num>, texts/idum0216.xml
2, 2, arc, transcription, 2</num>, texts/idum0218.xml
2, 2, arc, transcription, 2</num>, texts/idum0227.xml
2, 2, arc, transcription, 2</num>, texts/idum0297.xml
2, 2, arc, transcription, 2</num>, texts/idum0300.xml
2, 2, arc, transcription, 2</num>, texts/idum0301.xml
2, 2, arc, transcription, 2</num>, texts/idum0306.xml
2, 2, arc, transcription, 2</num>, texts/idum0309b.xml
2, 2, arc, transcription, 2</num>, texts/idum0310.xml
2, 2, arc, transcription, 2</num>, texts/idum0312.xml
2, 2, arc, transcription, 2</num>, texts/idum0326.xml
2, 2, arc, transcription, 2</num>, texts/idum0375.xml
2, 2, arc, transcription, 2</num>, texts/idum0376.xml
2, 2, arc, transcription, 2</num>, texts/idum0379.xml
2, 2, arc, transcription, 2</num>, texts/idum0385.xml
2, 2, arc, transcription, 2, texts/unkn0105.xml
2, 2, arc, transcription, 2, texts/unkn0107.xml
20, 20, arc, transcription, 20</num>, texts/idum0042.xml
20, 20, arc, transcription, 20</num>, texts/idum0050.xml
20, 20, arc, transcription, 20</num>, texts/idum0057.xml
20, 20, arc, transcription, 20</num>, texts/idum0062.xml
20, 20, arc, transcription, 20</num>, texts/idum0082.xml
20, 20, arc, transcription, 20</num>, texts/idum0087.xml
20, 20, arc, transcription, 20</num>, texts/idum0103.xml
20, 20, arc, transcription, 20</num>, texts/idum0119.xml
20, 20, arc, transcription, 20</num>, texts/idum0120.xml
20, 20, arc, transcription, 20</num>, texts/idum0125.xml
20, 20, arc, transcription, 20</num>, texts/idum0126.xml
20, 20, arc, transcription, 20</num>, texts/idum0143.xml
20, 20, arc, transcription, 20</num>, texts/idum0147.xml
20, 20, arc, transcription, 20</num>, texts/idum0156.xml
20, 20, arc, transcription, 20</num>, texts/idum0158.xml
20, 20, arc, transcription, 20</num>, texts/idum0162.xml
20, 20, arc, transcription, 20</num>, texts/idum0167.xml
20, 20, arc, transcription, 20</num>, texts/idum0206.xml
20, 20, arc, transcription, 20</num>, texts/idum0215.xml
20, 20, arc, transcription, 20</num>, texts/idum0216.xml
20, 20, arc, transcription, 20</num>, texts/idum0308.xml
20, 20, arc, transcription, 20, texts/mger0240.xml
21, 21, arc, transcription, 21</num>, texts/idum0006.xml
21, 21, arc, transcription, 21</num>, texts/idum0029.xml
21, 21, arc, transcription, 21</num>, texts/idum0032.xml
21, 21, arc, transcription, 21</num>, texts/idum0220.xml
21, 21, arc, transcription, 21</num>, texts/idum0224.xml
21, 21, arc, transcription, 21</num>, texts/idum0328.xml
22, 22, arc, transcription, 22</num>, texts/idum0088.xml
22, 22, arc, transcription, 22</num>, texts/idum0099.xml
22, 22, arc, transcription, 22</num>, texts/idum0104.xml
22, 22, arc, transcription, 22</num>, texts/idum0110.xml
22, 22, arc, transcription, 22</num>, texts/idum0137.xml
22, 22, arc, transcription, 22</num>, texts/idum0159.xml
22, 22, arc, transcription, 22</num>, texts/idum0335.xml
22, 22, arc, transcription, 22</num>, texts/idum0336.xml
22, 22, arc, transcription, 22</num>, texts/idum0375.xml
23, 23, arc, transcription, 23</num>, texts/idum0152.xml
23, 23, arc, transcription, 23</num>, texts/idum0309a.xml
23, 23, arc, transcription, 23</num>, texts/idum0317.xml
23, 23, arc, transcription, 23</num>, texts/idum0327.xml
23, 23, arc, transcription, 23</num>, texts/idum0331.xml
23, 23, arc, transcription, 23</num>, texts/idum0332.xml
24, 24, arc, transcription, 24</num>, texts/idum0007.xml
