110, 110, la-transl, translation, 110?</p></div>, texts/xml/masa0848.xml
Caesar, Caesar, la-transl, transcription, </rs>Caesar, texts/xml/caes0051.xml
Caesar, Caesar, la-transl, transcription, </rs>Caesar, texts/xml/caes0052.xml
Caesar, Caesar, la-transl, transcription, </rs>Caesar, texts/xml/caes0054.xml
Caesar, Caesar, la-transl, transcription, </rs>Caesar, texts/xml/caes0106.xml
Caesar, Caesar, la-transl, transcription, </rs>Caesar, texts/xml/caes0107.xml
Caesarea, Caesarea, la-transl, transcription, Caesarea</placeName>&#44;, texts/xml/caes0003.xml
Caesarea, Caesarea, la-transl, transcription, </persName>Caesarea, texts/xml/caes0024.xml
Caesarea, Caesarea, la-transl, transcription, Caesarea</placeName>&#44;, texts/xml/caes0044.xml
Caesars, Caesars, la-transl, transcription, Caesars, texts/xml/yotv0001.xml
Caius, Caius, la-transl, translation, Caius</p></div>, texts/xml/haif0020a.xml
Callistus, Callistus, la-transl, transcription, Callistus</persName>, texts/xml/caes0002.xml
Calpurnianus, Calpurnianus, la-transl, transcription, </persName>Calpurnianus, texts/xml/caes0010.xml
Campagoni, Campagoni, la-transl, transcription, Campagoni, texts/xml/caes0004.xml
Claudius, Claudius, la-transl, transcription, </persName>Claudius, texts/xml/caes0021.xml
Claudius, Claudius, la-transl, transcription, </persName>Claudius, texts/xml/caes0145.xml
Claudius, Claudius, la-transl, transcription, Claudius, texts/xml/caes0146.xml
Clemens, Clemens, la-transl, transcription, Clemens</persName>&#44;, texts/xml/caes0006.xml
Cleobulus, Cleobulus, la-transl, transcription, </persName>Cleobulus, texts/xml/caes0016.xml
Cleopatra, Cleopatra, la-transl, transcription, Cleopatra, texts/xml/caes0044.xml
Colony, Colony, la-transl, transcription, Colony, texts/xml/caes0044.xml
Constans, Constans, la-transl, transcription, Constans., texts/xml/caes0146.xml
Constantius, Constantius, la-transl, transcription, </persName>Constantius, texts/xml/caes0017.xml
Constantius, Constantius, la-transl, transcription, </lb>Constantius, texts/xml/yotv0001.xml
Cornelius, Cornelius, la-transl, transcription, </persName>Cornelius, texts/xml/caes0015.xml
Cyprus, Cyprus, la-transl, transcription, Cyprus</placeName>;, texts/xml/caes0004.xml
