110, 110, la-transl, translation, 110?</p></div>, texts/xml/masa0848.xml
and, and, la-transl, transcription, and, texts/xml/caes0146.xml
and, and, la-transl, transcription, and, texts/xml/caes0148.xml
and, and, la-transl, transcription, </persName></name>...and....</p></div>, texts/xml/caes0354.xml
and, and, la-transl, transcription, and, texts/xml/yotv0001.xml
aqueduct, aqueduct, la-transl, transcription, aqueduct), texts/xml/caes0051.xml
aqueduct, aqueduct, la-transl, transcription, aqueduct), texts/xml/caes0052.xml
aqueduct, aqueduct, la-transl, transcription, aqueduct), texts/xml/caes0054.xml
aqueducts, aqueducts, la-transl, transcription, aqueducts, texts/xml/caes0055.xml
at, at, la-transl, transcription, at, texts/xml/caes0003.xml
at, at, la-transl, transcription, at, texts/xml/caes0010.xml
at, at, la-transl, transcription, at, texts/xml/caes0037.xml
because, because, la-transl, transcription, because, texts/xml/caes0031.xml
best, best, la-transl, transcription, best, texts/xml/caes0148.xml
beyond, beyond, la-transl, transcription, beyond, texts/xml/caes0013.xml
by, by, la-transl, transcription, by, texts/xml/caes0011.xml
by, by, la-transl, transcription, by, texts/xml/caes0037.xml
by, by, la-transl, transcription, (by, texts/xml/caes0044.xml
by, by, la-transl, transcription, </lb>by, texts/xml/yotv0001.xml
care, care, la-transl, transcription, care, texts/xml/yotv0001.xml
cavalry, cavalry, la-transl, transcription, cavalry, texts/xml/caes0004.xml
centurion, centurion, la-transl, transcription, centurion, texts/xml/caes0004.xml
centurion, centurion, la-transl, transcription, centurion, texts/xml/caes0007.xml
centurion, centurion, la-transl, transcription, centurion, texts/xml/caes0119.xml
centurion, centurion, la-transl, transcription, centurion, texts/xml/caes0146.xml
centurion, centurion, la-transl, transcription, centurion, texts/xml/caes0148.xml
charge, charge, la-transl, transcription, charge, texts/xml/caes0004.xml
charged, charged, la-transl, transcription, charged, texts/xml/caes0004.xml
citizen, citizen, la-transl, transcription, citizen, texts/xml/caes0004.xml
clarissimate, clarissimate, la-transl, transcription, clarissimate, texts/xml/caes0013.xml
clarissimate, clarissimate, la-transl, transcription, clarissimate, texts/xml/caes0016.xml
cohort, cohort, la-transl, transcription, cohort, texts/xml/caes0004.xml
colony, colony, la-transl, transcription, colony, texts/xml/caes0003.xml
completing, completing, la-transl, transcription, completing, texts/xml/caes0004.xml
constans, constans, la-transl, transcription, constans, texts/xml/caes0004.xml
consul, consul, la-transl, transcription, consul</rs>&#44;, texts/xml/caes0107.xml
cus, cus, la-transl, translation, ...--cus, texts/xml/caes0037.xml
d, d, la-transl, transcription, </lb>d</p></div>, texts/xml/mare0403.xml
daughter, daughter, la-transl, transcription, daughter, texts/xml/caes0032.xml
decree, decree, la-transl, transcription, decree, texts/xml/caes0003.xml
decree, decree, la-transl, transcription, decree, texts/xml/caes0010.xml
decree, decree, la-transl, transcription, decree, texts/xml/caes0011.xml
decurion, decurion, la-transl, transcription, decurion, texts/xml/caes0010.xml
decurions, decurions, la-transl, transcription, decurions, texts/xml/caes0003.xml
decurions, decurions, la-transl, transcription, decurions&#44;, texts/xml/caes0010.xml
decurions, decurions, la-transl, transcription, decurions.</p></div>, texts/xml/caes0011.xml
deserving, deserving, la-transl, transcription, deserving.</p></div>, texts/xml/caes0018.xml
detachment, detachment, la-transl, transcription, detachment, texts/xml/caes0004.xml
detachment, detachment, la-transl, transcription, detachment, texts/xml/caes0051.xml
detachment, detachment, la-transl, transcription, detachment, texts/xml/caes0052.xml
detachment, detachment, la-transl, transcription, detachment, texts/xml/caes0054.xml
devoted, devoted, la-transl, transcription, devoted, texts/xml/caes0006.xml
devoted, devoted, la-transl, transcription, devoted, texts/xml/caes0009.xml
devoted, devoted, la-transl, transcription, devoted, texts/xml/caes0013.xml
devoted, devoted, la-transl, transcription, devoted, texts/xml/caes0014.xml
devoted, devoted, la-transl, transcription, devoted, texts/xml/caes0016.xml
duovir, duovir, la-transl, transcription, duovir</rs>&#44;, texts/xml/caes0003.xml
dutiful, dutiful, la-transl, transcription, dutiful, texts/xml/caes0106.xml
dutiful, dutiful, la-transl, transcription, dutiful, texts/xml/caes0107.xml
dutiful, dutiful, la-transl, transcription, dutiful, texts/xml/caes0146.xml
duumvir, duumvir, la-transl, transcription, duumvir</rs>., texts/xml/caes0015.xml
ear, ear, la-transl, transcription, ear:, texts/xml/yotv0001.xml
egregiate, egregiate, la-transl, transcription, egregiate, texts/xml/caes0011.xml
enemies, enemies, la-transl, transcription, enemies;, texts/xml/caes0004.xml
erected, erected, la-transl, transcription, </lb>erected, texts/xml/yotv0001.xml
expedition, expedition, la-transl, transcription, expedition, texts/xml/caes0004.xml
expense, expense, la-transl, transcription, expense.</p></div>, texts/xml/caes0003.xml
expense, expense, la-transl, transcription, expense., texts/xml/caes0010.xml
expense, expense, la-transl, transcription, expense, texts/xml/caes0037.xml
extraordinary, extraordinary, la-transl, transcription, extraordinary, texts/xml/caes0031.xml
faithful, faithful, la-transl, transcription, faithful, texts/xml/caes0006.xml
faithful, faithful, la-transl, transcription, faithful&#44;, texts/xml/caes0014.xml
faithful, faithful, la-transl, transcription, faithful&#44;, texts/xml/caes0017.xml
fidelis, fidelis, la-transl, transcription, fidelis, texts/xml/caes0004.xml
first, first, la-transl, transcription, first, texts/xml/caes0003.xml
first, first, la-transl, transcription, first, texts/xml/caes0004.xml
for, for, la-transl, transcription, for, texts/xml/caes0004.xml
for, for, la-transl, transcription, for, texts/xml/caes0015.xml
for, for, la-transl, transcription, for, texts/xml/caes0018.xml
for, for, la-transl, transcription, </rs>for, texts/xml/caes0020.xml
for, for, la-transl, transcription, ?for, texts/xml/caes0044.xml
for, for, la-transl, transcription, for, texts/xml/caes0146.xml
for, for, la-transl, transcription, for, texts/xml/yotv0001.xml
forbearing, forbearing, la-transl, transcription, forbearing., texts/xml/caes0016.xml
former, former, la-transl, transcription, former, texts/xml/caes0015.xml
fortunate, fortunate, la-transl, transcription, fortunate, texts/xml/caes0004.xml
fortyyear, fortyyear, la-transl, transcription, forty-year, texts/xml/yotv0001.xml
foundations, foundations, la-transl, transcription, foundations.</p></div>, texts/xml/caes0055.xml
fourth, fourth, la-transl, transcription, fourth, texts/xml/caes0004.xml
freedman, freedman, la-transl, transcription, freedman, texts/xml/caes0002.xml
freedmen, freedmen, la-transl, transcription, freedmen, texts/xml/caes0146.xml
friend, friend, la-transl, transcription, friend, texts/xml/caes0002.xml
from, from, la-transl, transcription, from, texts/xml/caes0055.xml
gate, gate, la-transl, transcription, gate&#44;, texts/xml/yotv0001.xml
gave, gave, la-transl, transcription, </persName>gave, texts/xml/caes0037.xml
governor, governor, la-transl, transcription, governor, texts/xml/caes0009.xml
governor, governor, la-transl, transcription, governor, texts/xml/caes0013.xml
governor, governor, la-transl, transcription, governor, texts/xml/caes0014.xml
governor, governor, la-transl, transcription, governor, texts/xml/caes0016.xml
governor, governor, la-transl, transcription, governor, texts/xml/caes0017.xml
governor, governor, la-transl, transcription, governor, texts/xml/yotv0001.xml
grade, grade, la-transl, transcription, </rs>grade&#44;, texts/xml/caes0055.xml
great, great, la-transl, transcription, great, texts/xml/caes0037.xml
happy, happy, la-transl, transcription, happy&#44;, texts/xml/caes0006.xml
happy, happy, la-transl, transcription, happy&#44;, texts/xml/caes0014.xml
happy, happy, la-transl, transcription, happy, texts/xml/caes0016.xml
happy, happy, la-transl, transcription, happy&#44;, texts/xml/caes0017.xml
happy, happy, la-transl, transcription, happy&#44;, texts/xml/caes0106.xml
happy, happy, la-transl, transcription, happy, texts/xml/caes0107.xml
heir, heir, la-transl, transcription, heir, texts/xml/caes0044.xml
heirs, heirs, la-transl, transcription, heirs, texts/xml/caes0146.xml
her, her, la-transl, transcription, her, texts/xml/caes0148.xml
his, his, la-transl, transcription, his, texts/xml/caes0002.xml
his, his, la-transl, transcription, his...&#44;, texts/xml/caes0004.xml
his, his, la-transl, transcription, his, texts/xml/caes0006.xml
his, his, la-transl, transcription, his, texts/xml/caes0007.xml
his, his, la-transl, transcription, his, texts/xml/caes0013.xml
his, his, la-transl, transcription, his, texts/xml/caes0014.xml
his, his, la-transl, transcription, his, texts/xml/caes0016.xml
his, his, la-transl, transcription, his, texts/xml/caes0031.xml
his, his, la-transl, transcription, his, texts/xml/caes0037.xml
his, his, la-transl, transcription, his, texts/xml/caes0146.xml
husband, husband, la-transl, transcription, husband</rs>&#44;, texts/xml/caes0148.xml
in, in, la-transl, transcription, in, texts/xml/caes0004.xml
incomparable, incomparable, la-transl, transcription, incomparable, texts/xml/caes0004.xml
it, it, la-transl, transcription, it, texts/xml/caes0037.xml
ius, ius, la-transl, transcription, --ius, texts/xml/caes0031.xml
jubilee, jubilee, la-transl, transcription, jubilee., texts/xml/yotv0001.xml
knight, knight, la-transl, transcription, knight, texts/xml/caes0010.xml
legate, legate, la-transl, transcription, legate, texts/xml/caes0015.xml
legate, legate, la-transl, transcription, legate, texts/xml/caes0018.xml
legate, legate, la-transl, transcription, legate, texts/xml/caes0020.xml
legate, legate, la-transl, transcription, legate</rs>...</p></div>, texts/xml/caes0021.xml
legion, legion, la-transl, transcription, legion, texts/xml/caes0004.xml
legion, legion, la-transl, transcription, legion, texts/xml/caes0018.xml
legional, legional, la-transl, transcription, legional, texts/xml/caes0021.xml
likewise, likewise, la-transl, transcription, likewise, texts/xml/caes0004.xml
made, made, la-transl, transcription, made, texts/xml/caes0044.xml
made, made, la-transl, transcription, </persName></name>made, texts/xml/caes0051.xml
made, made, la-transl, transcription, </persName></name>made, texts/xml/caes0052.xml
made, made, la-transl, transcription, </persName></name>(made, texts/xml/caes0054.xml
made, made, la-transl, transcription, made, texts/xml/caes0146.xml
made, made, la-transl, translation, ...made</p></div>, texts/xml/caes0163.xml
magnificentissimate, magnificentissimate, la-transl, transcription, magnificentissimate, texts/xml/caes0055.xml
majesty, majesty, la-transl, transcription, majesty.</p></div>, texts/xml/caes0006.xml
majesty, majesty, la-transl, transcription, majesty.</p></div>, texts/xml/caes0013.xml
majesty, majesty, la-transl, transcription, majesty.</p></div>, texts/xml/caes0014.xml
majesty, majesty, la-transl, transcription, majesty.</p></div>, texts/xml/caes0016.xml
majesty, majesty, la-transl, transcription, majesty.</p></div>, texts/xml/caes0017.xml
man, man, la-transl, transcription, man.</p></div>, texts/xml/caes0004.xml
man, man, la-transl, transcription, man&#44;, texts/xml/caes0037.xml
merits, merits, la-transl, transcription, merits, texts/xml/caes0031.xml
metropolis, metropolis, la-transl, transcription, metropolis., texts/xml/caes0010.xml
metropolis, metropolis, la-transl, transcription, metropolis&#44;, texts/xml/caes0011.xml
might, might, la-transl, transcription, might, texts/xml/caes0013.xml
might, might, la-transl, transcription, might, texts/xml/caes0014.xml
might, might, la-transl, transcription, might, texts/xml/caes0016.xml
might, might, la-transl, transcription, might, texts/xml/caes0017.xml
monument, monument, la-transl, transcription, monument), texts/xml/caes0146.xml
most, most, la-transl, transcription, most, texts/xml/caes0004.xml
most, most, la-transl, transcription, most, texts/xml/caes0009.xml
most, most, la-transl, transcription, </persName></name>...most, texts/xml/caes0013.xml
most, most, la-transl, transcription, most, texts/xml/caes0014.xml
most, most, la-transl, transcription, most, texts/xml/caes0016.xml
most, most, la-transl, transcription, most, texts/xml/caes0017.xml
most, most, la-transl, transcription, most, texts/xml/caes0106.xml
most, most, la-transl, transcription, most, texts/xml/caes0146.xml
mother, mother, la-transl, transcription, mother, texts/xml/caes0044.xml
my, my, la-transl, transcription, (my), texts/xml/caes0161.xml
noble, noble, la-transl, transcription, noble, texts/xml/caes0014.xml
noble, noble, la-transl, transcription, noble, texts/xml/caes0017.xml
noble, noble, la-transl, transcription, noble, texts/xml/caes0106.xml
noble, noble, la-transl, transcription, noble, texts/xml/yotv0001.xml
of, of, la-transl, transcription, </rs>of, texts/xml/caes0002.xml
of, of, la-transl, transcription, </rs>of, texts/xml/caes0003.xml
of, of, la-transl, transcription, </rs>of, texts/xml/caes0004.xml
of, of, la-transl, transcription, of, texts/xml/caes0006.xml
of, of, la-transl, transcription, </rs>of, texts/xml/caes0007.xml
of, of, la-transl, transcription, of, texts/xml/caes0009.xml
of, of, la-transl, transcription, of, texts/xml/caes0010.xml
of, of, la-transl, transcription, of, texts/xml/caes0011.xml
of, of, la-transl, transcription, of, texts/xml/caes0013.xml
of, of, la-transl, transcription, of, texts/xml/caes0014.xml
of, of, la-transl, transcription, </rs>of, texts/xml/caes0015.xml
of, of, la-transl, transcription, of, texts/xml/caes0016.xml
of, of, la-transl, transcription, of, texts/xml/caes0017.xml
of, of, la-transl, transcription, </rs>of, texts/xml/caes0018.xml
of, of, la-transl, transcription, </rs>of, texts/xml/caes0020.xml
of, of, la-transl, transcription, </rs>of, texts/xml/caes0031.xml
of, of, la-transl, transcription, </rs>of, texts/xml/caes0032.xml
of, of, la-transl, transcription, </rs>of, texts/xml/caes0043.xml
of, of, la-transl, transcription, of, texts/xml/caes0044.xml
of, of, la-transl, transcription, of, texts/xml/caes0051.xml
of, of, la-transl, transcription, of, texts/xml/caes0052.xml
of, of, la-transl, transcription, of, texts/xml/caes0054.xml
of, of, la-transl, transcription, </rs>of, texts/xml/caes0055.xml
of, of, la-transl, transcription, of, texts/xml/caes0106.xml
of, of, la-transl, transcription, of, texts/xml/caes0107.xml
of, of, la-transl, transcription, </rs>of, texts/xml/caes0119.xml
of, of, la-transl, transcription, </rs>of, texts/xml/caes0146.xml
of, of, la-transl, transcription, </rs>of, texts/xml/caes0148.xml
of, of, la-transl, transcription, of, texts/xml/yotv0001.xml
of, of, la-transl, translation, ...of, texts/xml/caes0032.xml
or, or, la-transl, transcription, (or, texts/xml/caes0004.xml
orator, orator, la-transl, transcription, orator, texts/xml/caes0003.xml
order, order, la-transl, transcription, order, texts/xml/caes0015.xml
our, our, la-transl, transcription, our, texts/xml/caes0011.xml
our, our, la-transl, transcription, our, texts/xml/caes0106.xml
out, out, la-transl, transcription, out, texts/xml/caes0002.xml
out, out, la-transl, transcription, out, texts/xml/caes0031.xml
over, over, la-transl, transcription, over, texts/xml/caes0016.xml
patron, patron, la-transl, transcription, patron, texts/xml/caes0010.xml
patron, patron, la-transl, transcription, patron, texts/xml/caes0011.xml
patron, patron, la-transl, transcription, patron.</p></div>, texts/xml/caes0146.xml
peace, peace, la-transl, transcription, peace&#44;, texts/xml/yotv0001.xml
peoples, peoples, la-transl, transcription, peoples&#44;, texts/xml/caes0016.xml
peregrine, peregrine, la-transl, transcription, peregrine, texts/xml/caes0004.xml
perfectissimate, perfectissimate, la-transl, transcription, perfectissimate, texts/xml/caes0006.xml
perfectissimate, perfectissimate, la-transl, transcription, perfectissimate, texts/xml/caes0009.xml
perfectissimate, perfectissimate, la-transl, transcription, perfectissimate, texts/xml/caes0010.xml
perfectissimate, perfectissimate, la-transl, transcription, perfectissimate, texts/xml/caes0014.xml
perfectissimate, perfectissimate, la-transl, transcription, perfectissimate, texts/xml/caes0017.xml
perpetual, perpetual, la-transl, transcription, perpetual, texts/xml/yotv0001.xml
placed, placed, la-transl, transcription, placed, texts/xml/caes0004.xml
pontifex, pontifex, la-transl, transcription, pontifex</rs>&#44;, texts/xml/caes0107.xml
power, power, la-transl, transcription, power</rs>&#44;, texts/xml/caes0107.xml
powerful, powerful, la-transl, transcription, powerful, texts/xml/caes0013.xml
prefect, prefect, la-transl, transcription, prefect, texts/xml/caes0004.xml
prefect, prefect, la-transl, transcription, prefect, texts/xml/caes0010.xml
prefect, prefect, la-transl, transcription, prefect, texts/xml/caes0043.xml
prefect, prefect, la-transl, transcription, prefect, texts/xml/caes0146.xml
previous, previous, la-transl, transcription, previous, texts/xml/caes0013.xml
priest, priest, la-transl, transcription, priest</rs>&#44;, texts/xml/caes0003.xml
primuspilus, primuspilus, la-transl, transcription, primuspilus</p></div>, texts/xml/caes0145.xml
princesPassenianus, princesPassenianus, la-transl, transcription, princes...Passenianus</persName>&#44;, texts/xml/caes0013.xml
proconsul, proconsul, la-transl, transcription, proconsul, texts/xml/caes0055.xml
proconsul, proconsul, la-transl, transcription, proconsul</rs>.</p></div>, texts/xml/caes0107.xml
procurator, procurator, la-transl, transcription, procurator, texts/xml/caes0004.xml
procurator, procurator, la-transl, transcription, procurator</rs>&#44;, texts/xml/caes0006.xml
procurator, procurator, la-transl, transcription, procurator, texts/xml/caes0007.xml
procurator, procurator, la-transl, transcription, procurator, texts/xml/caes0011.xml
procurator, procurator, la-transl, transcription, procurator</rs>&#44;, texts/xml/caes0146.xml
propaetorian, propaetorian, la-transl, transcription, propaetorian, texts/xml/caes0018.xml
propraetorian, propraetorian, la-transl, transcription, propraetorian, texts/xml/caes0015.xml
propraetorian, propraetorian, la-transl, transcription, propraetorian, texts/xml/caes0020.xml
propretorian, propretorian, la-transl, translation, ...propretorian, texts/xml/caes0031.xml
province, province, la-transl, transcription, province, texts/xml/caes0004.xml
province, province, la-transl, transcription, province, texts/xml/caes0009.xml
province, province, la-transl, transcription, province, texts/xml/caes0013.xml
province, province, la-transl, transcription, province, texts/xml/caes0014.xml
province, province, la-transl, transcription, province, texts/xml/caes0015.xml
province, province, la-transl, transcription, province, texts/xml/caes0016.xml
province, province, la-transl, transcription, province, texts/xml/caes0017.xml
province, province, la-transl, transcription, province, texts/xml/caes0020.xml
province, province, la-transl, transcription, province, texts/xml/yotv0001.xml
public, public, la-transl, transcription, public, texts/xml/caes0003.xml
public, public, la-transl, transcription, public, texts/xml/caes0004.xml
public, public, la-transl, transcription, public, texts/xml/caes0010.xml
rank, rank, la-transl, transcription, </rs>rank&#44;, texts/xml/caes0006.xml
rank, rank, la-transl, transcription, </rs>rank&#44;, texts/xml/caes0009.xml
rank, rank, la-transl, transcription, </rs>rank&#44;, texts/xml/caes0010.xml
rank, rank, la-transl, transcription, </rs>rank&#44;, texts/xml/caes0011.xml
rank, rank, la-transl, transcription, </rs>rank&#44;, texts/xml/caes0013.xml
rank, rank, la-transl, transcription, </rs>rank&#44;, texts/xml/caes0014.xml
rank, rank, la-transl, transcription, </rs>rank&#44;, texts/xml/caes0016.xml
rank, rank, la-transl, transcription, </rs>rank&#44;, texts/xml/caes0017.xml
rank, rank, la-transl, transcription, rank&#44;, texts/xml/caes0146.xml
rebuilt, rebuilt, la-transl, transcription, rebuilt, texts/xml/caes0055.xml
respect, respect, la-transl, transcription, respect.</p></div>, texts/xml/caes0002.xml
respect, respect, la-transl, transcription, respect.</p></div>, texts/xml/caes0031.xml
responsible, responsible, la-transl, transcription, responsible.</p></div>, texts/xml/caes0010.xml
second, second, la-transl, transcription, second, texts/xml/caes0146.xml
sixth, sixth, la-transl, transcription, sixth, texts/xml/caes0004.xml
son, son, la-transl, transcription, son, texts/xml/caes0015.xml
son, son, la-transl, transcription, son, texts/xml/caes0106.xml
son, son, la-transl, transcription, son, texts/xml/caes0107.xml
son, son, la-transl, transcription, son</rs>.</p></div>, texts/xml/caes0148.xml
spirit, spirit, la-transl, transcription, spirit, texts/xml/caes0006.xml
squadron, squadron, la-transl, transcription, squadron, texts/xml/caes0004.xml
strator, strator, la-transl, transcription, strator</rs>.</p></div>, texts/xml/caes0007.xml
tenth, tenth, la-transl, transcription, tenth, texts/xml/caes0018.xml
testament, testament, la-transl, transcription, testament&#44;, texts/xml/caes0044.xml
the, the, la-transl, transcription, the, texts/xml/caes0003.xml
the, the, la-transl, transcription, the, texts/xml/caes0004.xml
the, the, la-transl, transcription, the, texts/xml/caes0009.xml
the, the, la-transl, transcription, the, texts/xml/caes0010.xml
the, the, la-transl, transcription, the, texts/xml/caes0011.xml
the, the, la-transl, transcription, the, texts/xml/caes0013.xml
the, the, la-transl, transcription, the, texts/xml/caes0014.xml
the, the, la-transl, transcription, the, texts/xml/caes0015.xml
the, the, la-transl, transcription, the, texts/xml/caes0016.xml
the, the, la-transl, transcription, the, texts/xml/caes0017.xml
the, the, la-transl, transcription, the, texts/xml/caes0018.xml
the, the, la-transl, transcription, the, texts/xml/caes0020.xml
the, the, la-transl, transcription, the, texts/xml/caes0031.xml
the, the, la-transl, transcription, the, texts/xml/caes0044.xml
the, the, la-transl, transcription, (the, texts/xml/caes0051.xml
the, the, la-transl, transcription, (the, texts/xml/caes0052.xml
the, the, la-transl, transcription, the, texts/xml/caes0054.xml
the, the, la-transl, transcription, the, texts/xml/caes0055.xml
the, the, la-transl, transcription, the, texts/xml/caes0146.xml
the, the, la-transl, transcription, the, texts/xml/caes0148.xml
the, the, la-transl, transcription, </lb>the, texts/xml/yotv0001.xml
their, their, la-transl, transcription, their, texts/xml/caes0017.xml
their, their, la-transl, transcription, their, texts/xml/caes0055.xml
their, their, la-transl, transcription, their, texts/xml/caes0146.xml
this, this, la-transl, transcription, this), texts/xml/caes0044.xml
this, this, la-transl, transcription, (this, texts/xml/caes0146.xml
thousandman, thousandman, la-transl, transcription, thousand-man, texts/xml/caes0004.xml
through, through, la-transl, transcription, through, texts/xml/caes0051.xml
through, through, la-transl, transcription, through, texts/xml/caes0052.xml
through, through, la-transl, transcription, through, texts/xml/caes0054.xml
to, to, la-transl, transcription, </name>to, texts/xml/caes0002.xml
to, to, la-transl, transcription, to, texts/xml/caes0004.xml
to, to, la-transl, transcription, to, texts/xml/caes0006.xml
to, to, la-transl, transcription, to, texts/xml/caes0009.xml
to, to, la-transl, transcription, to, texts/xml/caes0013.xml
to, to, la-transl, transcription, to, texts/xml/caes0014.xml
to, to, la-transl, transcription, to, texts/xml/caes0016.xml
to, to, la-transl, transcription, to, texts/xml/caes0017.xml
to, to, la-transl, transcription, to, texts/xml/caes0037.xml
to, to, la-transl, transcription, to, texts/xml/caes0106.xml
to, to, la-transl, translation, ...to, texts/xml/caes0354.xml
tobest, tobest, la-transl, transcription, to...best, texts/xml/caes0018.xml
towife, towife, la-transl, translation, ...to...wife</rs>...</p></div>, texts/xml/caes0162.xml
tribe, tribe, la-transl, transcription, tribe, texts/xml/caes0015.xml
tribe, tribe, la-transl, transcription, tribe, texts/xml/caes0018.xml
tribune, tribune, la-transl, transcription, tribune, texts/xml/caes0004.xml
tribunician, tribunician, la-transl, transcription, tribunician, texts/xml/caes0107.xml
truly, truly, la-transl, transcription, truly, texts/xml/caes0016.xml
twentyyear, twentyyear, la-transl, transcription, twenty-year, texts/xml/yotv0001.xml
two, two, la-transl, transcription, two, texts/xml/caes0055.xml
unconquered, unconquered, la-transl, transcription, unconquered&#44;, texts/xml/caes0014.xml
unconquered, unconquered, la-transl, transcription, </persName></name>...unconquered, texts/xml/caes0016.xml
unconquered, unconquered, la-transl, transcription, unconquered&#44;, texts/xml/caes0017.xml
unit, unit, la-transl, transcription, unit, texts/xml/caes0004.xml
urban, urban, la-transl, transcription, urban, texts/xml/caes0004.xml
victorious, victorious, la-transl, transcription, victorious, texts/xml/caes0016.xml
volunteers, volunteers, la-transl, transcription, volunteers, texts/xml/caes0004.xml
vows, vows, la-transl, transcription, vows, texts/xml/yotv0001.xml
was, was, la-transl, transcription, was, texts/xml/caes0010.xml
were, were, la-transl, transcription, were, texts/xml/caes0055.xml
wife, wife, la-transl, transcription, wife</rs>., texts/xml/caes0148.xml
wife, wife, la-transl, transcription, wife</rs>...</p></div>, texts/xml/caes0160.xml
wife, wife, la-transl, transcription, wife</rs>...</p></div>, texts/xml/caes0161.xml
wing, wing, la-transl, transcription, wing, texts/xml/yotv0001.xml
with, with, la-transl, transcription, with, texts/xml/caes0004.xml
with, with, la-transl, transcription, with, texts/xml/caes0107.xml
with, with, la-transl, transcription, with, texts/xml/yotv0001.xml
