1, he, transcription, <p>.1, texts/jord0001.xml
בשנת, he, transcription, </lb>בשנת, texts/qumr0001.xml
בשר, he, transcription, <p>בשר, texts/masa0547.xml
בת, he, transcription, בת, texts/akld0024.xml
בת, he, transcription, <p>בת</p></div>, texts/masa0403.xml
בת, he, transcription, <p>בת</p></div>, texts/masa0405.xml
ג, he, transcription, </lb>ג, texts/masa0360.xml
ג, he, transcription, </lb><num>ג</num>, texts/masa0393.xml
גרגר, he, transcription, <p>גר<supplied>גר</supplied>, texts/masa0537.xml
גרגר, he, transcription, <p>ג<unclear>ר</unclear><supplied>גר</supplied>, texts/masa0540.xml
גרגר, he, transcription, <p>גרגר</p></div>, texts/masa0541.xml
גרגר, he, transcription, <p>גרגר</p></div>, texts/masa0542.xml
גרמלקרת, he, transcription, <p>גרמלקרת</p></div>, texts/tana0001.xml
ד, he, transcription, <supplied>ד</supplied>, texts/masa0529.xml
ד, he, transcription, <supplied>ד</supplied>, texts/masa0535.xml
דב, he, transcription, <p>ד<supplied>ב</supplied>, texts/masa0539.xml
דבלה, he, transcription, <p>דבלה, texts/masa0516.xml
דבלה, he, transcription, <p>דבלה</p></div>, texts/masa0519.xml
דבלה, he, transcription, <p>דבלה</p></div>, texts/masa0522.xml
דבלה, he, transcription, <p>דבל<supplied>ה</supplied>, texts/masa0525.xml
דבלה, he, transcription, <p>דבל<unclear>ה</unclear></p></div>, texts/masa0526.xml
דבלה, he, transcription, <supplied>ד</supplied>בלה</p></div>, texts/masa0527.xml
דבלה, he, transcription, <unclear>ד</unclear>בלה</p></div>, texts/masa0528.xml
דבלה, he, transcription, <p>דב<supplied>לה</supplied>, texts/masa0530.xml
דבלה, he, transcription, <supplied>דב</supplied>ל<unclear>ה</unclear></p></div>, texts/masa0531.xml
דבלה, he, transcription, <supplied>ד</supplied>בלה</p></div>, texts/masa0533.xml
דבלה, he, transcription, <p>ד<supplied>בלה</supplied>, texts/masa0536.xml
דבלה, he, transcription, </lb>דב<unclear>ל</unclear><supplied>ה</supplied>, texts/masa0537.xml
דבלה, he, transcription, <unclear>ד</unclear>ב<unclear>לה</unclear></p></div>, texts/masa0538.xml
דבלה, he, transcription, </lb>ד<supplied>בלה</supplied>, texts/masa0540.xml
דוגה, he, transcription, <p>דוגה</p></div>, texts/masa0553.xml
דוסתס, he, transcription, <p>דוסתס</p></div>, texts/masa0382.xml
ה, he, transcription, </lb></gap>ה, texts/masa0450.xml
ה, he, transcription, <unclear>ה</unclear>, texts/masa0461.xml
הארון, he, transcription, <p>הארון, texts/beth0247.xml
