1, he, transcription, <p>.1, texts/jord0001.xml
קדדין, he, transcription, <p>קדדין</p></div>, texts/masa0551.xml
קדש, he, transcription, <p>קד<supplied>ש</supplied>, texts/masa0453c.xml
קדש, he, transcription, <unclear>ק</unclear>ד<supplied>ש</supplied>, texts/masa0453d.xml
קומה, he, transcription, <p>קומה</p></div>, texts/neta0001.xml
קיפא, he, transcription, קיפא, texts/jent0006.xml
קירה, he, transcription, <p>קירה, texts/beth0241.xml
קירילא, he, transcription, <p>קירילא, texts/beth0240.xml
קפא, he, transcription, קפא, texts/jent0006.xml
קצבא, he, transcription, </lb>קצבא, texts/masa0038.xml
קצבא, he, transcription, <p>קצבא</p></div>, texts/masa0512.xml
ר, he, transcription, <unclear>ר</unclear>, texts/masa0401.xml
ר, he, transcription, <p>ר, texts/masa0597.xml
ר, he, transcription, <p>ר, texts/masa0598.xml
ר, he, transcription, <p>ר, texts/masa0599.xml
ר, he, transcription, <p>ר, texts/masa0600.xml
ר, he, transcription, <p>ר, texts/masa0601.xml
ר, he, transcription, <p>ר, texts/masa0602.xml
ראובן, he, transcription, ראובן</p></div>, texts/haif0010.xml
רבא, he, transcription, <p>רבא</p></div>, texts/masa0391.xml
רבא, he, transcription, רבא, texts/masa0461.xml
רבי, he, transcription, <p>רבי, texts/beth0230.xml
רבי, he, transcription, <p>רבי, texts/beth0238.xml
רבי, he, transcription, רבי, texts/jaff0057.xml
רות, he, transcription, <p>רות, texts/beth0262.xml
ש, he, transcription, </lb><supplied>ש</supplied>, texts/huqo0001.xml
ש, he, transcription, </lb><unclear>ש</unclear></p></div>, texts/masa0416.xml
ש, he, transcription, <unclear>ש</unclear></gap>, texts/qumr0002.xml
שאול, he, transcription, </lb>שאול, texts/masa0038.xml
שאול, he, transcription, <p>שאול</p></div>, texts/masa0410.xml
שאול, he, transcription, <p>שאול</p></div>, texts/masa0509.xml
שאול, he, transcription, </lb>שאול, texts/shap0004.xml
שאל, he, transcription, <p>שאל, texts/masa0038.xml
שאל, he, transcription, <p>שאל, texts/masa0508.xml
שבי, he, transcription, <p>ש<unclear>ב</unclear>י</p></div>, texts/anna0003.xml
שבי, he, transcription, <p>שבי, texts/anna0004.xml
שבר, he, transcription, <p>שבר, texts/haif0010.xml
שבתי, he, transcription, <p>שבתי</p>, texts/akld0021.xml
שהן, he, transcription, שהן, texts/huqo0001.xml
של, he, transcription, </lb><unclear>ש</unclear>ל, texts/jaff0054.xml
של, he, transcription, של, texts/jeru0303.xml
שלום, he, transcription, <unclear>ש</unclear>לום</p></div>, texts/beth0266.xml
שלום, he, transcription, <p>שלום, texts/beth0268.xml
שלום, he, transcription, <p>שלום, texts/beth0269.xml
שלום, he, transcription, <p>שלום, texts/beth0270.xml
שלום, he, transcription, <p>שלום, texts/beth0274.xml
שלום, he, transcription, <unclear>ש</unclear>ל<unclear>ו</unclear>ם</p></div>, texts/beth0276.xml
שלום, he, transcription, </lb><foreign>שלום</foreign>, texts/jaff0040.xml
שלום, he, transcription, </lb>שלום, texts/jaff0054.xml
שלום, he, transcription, </lb><supplied>של</supplied><unclear>ו</unclear>ם</p></div>, texts/jaff0057.xml
שלום, he, transcription, <p>שלום</p></div>, texts/jent0005.xml
שלום, he, transcription, <p>שלום, texts/jeru0017.xml
שלוםל, he, transcription, <p>שלום<supplied>ל</supplied>, texts/beth0236.xml
שלוםלית, he, transcription, <p>שלום<supplied>לית</supplied>, texts/masa0404.xml
שלומ, he, transcription, </lb>שלומ, texts/akld0024.xml
שמ, he, transcription, <p>שמ</p></div>, texts/jent0004.xml
שמו, he, transcription, </lb><supplied>ש</supplied>מו, texts/unkn0103.xml
שמן, he, transcription, שמן, texts/jaff0057.xml
שמעון, he, transcription, <p>שמעון</p></div>, texts/erra0001.xml
שמעון, he, transcription, שמעון, texts/jeru0303.xml
שמעון, he, transcription, <p>שמעון, texts/juda0001.xml
שמעון, he, transcription, </lb><supplied>שמעון</supplied>, texts/masa0039.xml
שמעון, he, transcription, <p>שמעון, texts/masa0360.xml
שמעון, he, transcription, <p>שמעון, texts/masa0416.xml
שמעון, he, transcription, <supplied>ש</supplied>מעון, texts/masa0463.xml
שמעון, he, transcription, <p>שמעון, texts/masa0465.xml
שמעון, he, transcription, <p>שמעון</p></div>, texts/masa0466.xml
שמעון, he, transcription, <p>שמ<supplied>עון</supplied>, texts/masa0478.xml
שמעון, he, transcription, <p>שמעון</p></div>, texts/masa0479.xml
שמעון, he, transcription, </lb><supplied>שמעון</supplied>, texts/masa0514.xml
שמעון, he, transcription, שמעון, texts/shap0002.xml
שמעון, he, transcription, שמעון, texts/shap0003.xml
שמעוןר, he, transcription, <p>שמעון<supplied>ר</supplied>, texts/masa0464.xml
שמעין, he, transcription, <p>שמעין</p></div>, texts/masa0462.xml
שמען, he, transcription, <p>שמען, texts/masa0039.xml
שמען, he, transcription, <p>שמען, texts/masa0514.xml
שנים, he, transcription, <unclear>ש</unclear>נים</gap></p></div>, texts/masa0587.xml
שפירה, he, transcription, </lb>שפירה, texts/unkn0101.xml
שצעון, he, transcription, <p>שצע<supplied>ון</supplied>, texts/masa0467.xml
שתים, he, transcription, שתים, texts/qumr0001.xml
ת, he, transcription, <p>ת</p></div>, texts/masa0442.xml
ת, he, transcription, </gap>ת, texts/masa0449.xml
ת, he, transcription, </lb></gap>ת, texts/qumr0002.xml
תאבא, he, transcription, </lb>תאבא</p></div>, texts/masa0038.xml
תאבא, he, transcription, <p>תאבא</p></div>, texts/masa0513.xml
תפלה, he, transcription, <p>תפלה, texts/anna0002.xml
תפלוס, he, transcription, <unclear>ת</unclear>פלוס, texts/jeru0305.xml
תקופת, he, transcription, <p>תקופת, texts/tibe0002.xml
תקופת, he, transcription, <p>תקופת, texts/tibe0007.xml
תקופת, he, transcription, <p>תקופת, texts/tibe0008.xml
תקופת, he, transcription, <p>תקופת, texts/tibe0009.xml
ὲυμύρου, he, transcription, </lb>ὲυμύρου</p></div>, texts/jaff0040.xml
Ῥαβὶ, he, transcription, <foreign>Ῥαβὶ</foreign>, texts/jaff0052.xml
