#Zubaydu/Zubidu, arc, transcription, ../iip-texts-master/epidoc-files/idum0001.xml
10, arc, transcription, ../iip-texts-master/epidoc-files/idum0120.xml
10, arc, transcription, ../iip-texts-master/epidoc-files/idum0122.xml
10, arc, transcription, ../iip-texts-master/epidoc-files/idum0123.xml
10, arc, transcription, ../iip-texts-master/epidoc-files/idum0128.xml
10, arc, transcription, ../iip-texts-master/epidoc-files/idum0140.xml
10, arc, transcription, ../iip-texts-master/epidoc-files/idum0225.xml
10, arc, transcription, ../iip-texts-master/epidoc-files/idum0309a.xml
10, arc, transcription, ../iip-texts-master/epidoc-files/idum0317.xml
10, arc, transcription, ../iip-texts-master/epidoc-files/idum0324.xml
10, arc, transcription, ../iip-texts-master/epidoc-files/idum0334.xml
10, arc, transcription, ../iip-texts-master/epidoc-files/idum0336.xml
10, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
10, arc, transcription, ../iip-texts-master/epidoc-files/unkn0107.xml
11, arc, transcription, ../iip-texts-master/epidoc-files/idum0079.xml
11, arc, transcription, ../iip-texts-master/epidoc-files/idum0107.xml
11, arc, transcription, ../iip-texts-master/epidoc-files/idum0120.xml
11, arc, transcription, ../iip-texts-master/epidoc-files/idum0161.xml
11, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
113, arc, transcription, ../iip-texts-master/epidoc-files/jmon0006.xml
117, arc, transcription, ../iip-texts-master/epidoc-files/sina0107.xml
12, arc, transcription, ../iip-texts-master/epidoc-files/idum0046.xml
12, arc, transcription, ../iip-texts-master/epidoc-files/idum0069.xml
12, arc, transcription, ../iip-texts-master/epidoc-files/idum0208.xml
12, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
12, grc, diplomatic, ../iip-texts-master/epidoc-files/kkom0001.xml
12, arc, transcription, ../iip-texts-master/epidoc-files/unkn0104.xml
13, arc, transcription, ../iip-texts-master/epidoc-files/idum0025.xml
13, arc, transcription, ../iip-texts-master/epidoc-files/idum0028.xml
13, arc, transcription, ../iip-texts-master/epidoc-files/idum0029.xml
13, arc, transcription, ../iip-texts-master/epidoc-files/idum0084.xml
13, arc, transcription, ../iip-texts-master/epidoc-files/idum0212.xml
